Jugador,ID,Total Pueblos,OFFs FULL,OFFs MEDIA,Total Hachas,Total Ligeras,Total Arq.Caballo,Total Arietes,Total Catapultas,Pob. Ofensiva Total
,FULL,|| ~Bollo~ || Tu Rey Bollo (485|531) C54,,5544,2500,250,348,139,19646
,MEDIA,|| ~Bollo~ || DeOp Sora (486|563) C54,,3867,1717,157,432,21,13848
,MEDIA,|| ~Bollo~ || El Carry Payet (481|530) C54,,4710,1782,204,311,115,15333
,MEDIA,|| ~Bollo~ || El Rey Pirate (492|566) C54,,3839,1652,178,330,130,14027
,MEDIA,|| ~Bollo~ || InSaNe (490|563) C54,,4113,1850,172,375,21,14416
,MEDIA,|| ~Bollo~ || Jandrito (475|554) C54,,3983,1735,180,264,110,14023
,MEDIA,|| ~Bollo~ || La Pika Pikeras (472|545) C54,,4320,1897,199,368,140,15863
,MEDIA,|| ~Bollo~ || Lowasd el Bárbaro (484|531) C54,,4318,1748,215,288,72,14401
,MEDIA,|| ~Bollo~ || Samuel el Pep (475|550) C54,,3598,1482,140,412,20,12446
,MEDIA,|| ~Bollo~ || SirBoston Bestia (483|534) C54,,4166,1901,198,261,98,14849
,MEDIA,|| ~M0b~ || La Reina Noble (491|562) C54,,3593,1620,171,250,91,12906
m0bscene,2073217,57,5,6,103536,44744,1888,8772,2438,355316
,FULL,[Aub] (474|534) C54,,5938,2508,0,439,49,18557
,FULL,[Bej] (477|535) C54,,8842,2967,240,600,25,25110
,FULL,[Fer] (478|550) C54,,4700,2028,200,370,50,16062
,FULL,[Jox] (479|543) C54,,4892,2326,243,359,43,17550
,FULL,[Low] (480|541) C54,,5759,2362,240,440,50,19007
,MEDIA,[Lan] (483|542) C54,,4696,1994,0,273,40,14357
,MEDIA,[Len] (482|541) C54,,4662,1991,0,352,40,14706
,MEDIA,[Mel] (484|538) C54,,4546,1946,0,337,40,14335
,MEDIA,[Ros] (478|548) C54,,3780,2550,0,301,43,15829
,MEDIA,[Vak] (477|549) C54,,3823,1557,160,297,45,12696
,MEDIA,[Xik] (480|551) C54,,4158,1871,180,455,50,15217
Meliflua,2172181,37,5,4,67036,32220,1735,5096,1037,238367
,FULL,[001] Tominoplia (464|550) C54,,6138,3068,150,449,100,22205
,FULL,Bollito exterminador (456|534) C54,,6282,3078,150,457,111,22517
,FULL,Bollito glotón (456|544) C54,,5695,2619,142,427,100,19816
,FULL,Bollito guerrero (461|539) C54,,5997,2823,150,450,100,21089
,FULL,Bollito Junior (453|535) C54,,6000,3000,150,450,100,21800
,MEDIA,02 Sirio (450|523) C54,,3631,1546,80,335,75,12490
,MEDIA,Bollito exasperado (462|542) C54,,4616,2014,120,289,70,15277
,MEDIA,Bollito irascible (457|538) C54,,3890,1615,84,315,29,12577
,MEDIA,Bollito Krilin (470|544) C54,,3321,1590,100,405,39,12518
Demente,2141920,37,5,1,41733,21586,162,2424,952,148623
,FULL,Aiwarin - Maeveeka (471|546) C54,,5119,2562,0,329,100,17812
,FULL,Barryles (470|543) C54,,5498,3000,0,330,100,19948
,FULL,pueblo de abandonando (465|528) C54,,4661,2393,0,266,85,16243
,FULL,pueblo de Demente (467|534) C54,,5757,3000,162,329,100,21012
,FULL,TORINO (472|547) C54,,5500,3000,0,325,100,19925
,MEDIA,Mansion temple 006 (485|554) C54,,3312,1843,0,292,90,12864
ElPayet,2116604,73,4,6,142041,72924,2865,10155,1181,508285
,FULL,001 Payet (489|526) C54,,5099,2750,250,298,50,19239
,FULL,003 Payet (488|524) C54,,3998,2374,231,289,41,16422
,FULL,006 Payet (493|530) C54,,5294,2574,233,281,45,18520
,FULL,007 Payet (488|518) C54,,4356,2612,250,289,42,17835
